group,taxon,TL_mm,Age_months
Mysticeti,B.bonaerensis,210,2.5
Mysticeti,B.bonaerensis,330,3.5
Mysticeti,B.bonaerensis,470,4.5
Mysticeti,B.bonaerensis,650,5.5
Mysticeti,B.bonaerensis,700,6
Mysticeti,B.bonaerensis,3200,9.5
Mysticeti,B.bonaerensis,200,3.66
Mysticeti,B.bonaerensis,1150,6.67
Mysticeti,B.bonaerensis,740,5.81
Mysticeti,B.bonaerensis,410,4.95
Mysticeti,B.bonaerensis,390,4.87
Mysticeti,B.bonaerensis,300,4.61
Mysticeti,B.bonaerensis,280,4.54
Mysticeti,B.physalus,30,0.5
Mysticeti,B.physalus,180,1.5
Mysticeti,B.physalus,460,2.5
Mysticeti,B.physalus,1070,4.5
Mysticeti,B.physalus,1460,5.5
Mysticeti,B.physalus,1920,6.5
Mysticeti,B.physalus,2500,7.5
Mysticeti,B.physalus,3170,8.5
Mysticeti,B.physalus,4080,9.5
Mysticeti,B.physalus,5090,10.5
Mysticeti,B.physalus,6240,11.5
Mysticeti,B.physalus,6400,12
Odontoceti,Ph.phocoena,190,2.75
Odontoceti,Ph.phocoena,210,3.25
Odontoceti,Ph.phocoena,250,3.75
Odontoceti,Ph.phocoena,290,4.25
Odontoceti,Ph.phocoena,340,4.75
Odontoceti,Ph.phocoena,350,5.25
Odontoceti,Ph.phocoena,440,5.75
Odontoceti,Ph.phocoena,650,7.51
Odontoceti,Ph.phocoena,610,7.76
Odontoceti,Ph.phocoena,660,7.91
Odontoceti,Ph.phocoena,710,8.51
Odontoceti,Ph.phocoena,610,10.5
Odontoceti,Ph.phocoena,750,11
Odontoceti,St.attenuata,20,0.8
Odontoceti,St.attenuata,40,1
Odontoceti,St.attenuata,40,1.27
Odontoceti,St.attenuata,60,1.54
Odontoceti,St.attenuata,100,1.9
Odontoceti,St.attenuata,120,2.4
Odontoceti,St.attenuata,160,2.74
Odontoceti,St.attenuata,190,2.9
Odontoceti,St.attenuata,220,3.17
Odontoceti,St.attenuata,250,3.47
Odontoceti,St.attenuata,260,3.5
Odontoceti,St.attenuata,300,3.84
Odontoceti,St.attenuata,390,4.67
Odontoceti,St.attenuata,470,5.67
Odontoceti,St.attenuata,480,5.67
Odontoceti,St.attenuata,620,6.5
Odontoceti,St.attenuata,660,6.84
Odontoceti,St.attenuata,690,7.17
Odontoceti,St.attenuata,800,7.84
Odontoceti,St.attenuata,950,9
